# Time-averaged data for fix myat5
# TimeStep c_Press[3]
0 3410.12
100 3449.69
200 3469.08
300 4151.71
400 3265.74
500 3514.63
600 3354.19
700 2976.3
800 3818.23
900 2981.38
1000 3665.6
1100 3820.08
1200 3048.94
1300 3696.64
1400 3363.68
1500 3446.32
1600 3373.67
1700 3316.53
1800 4027.97
1900 3102.6
2000 3210.06
2100 3896.82
2200 3522.24
2300 3915.71
2400 2847.74
2500 3445.84
2600 3242.07
2700 3908.85
2800 3796.49
2900 3390.88
3000 2709.08
3100 3580.27
3200 3635.6
3300 2833.62
3400 3251.56
3500 3684.49
3600 3133.45
3700 2778.34
3800 3298.92
3900 3258.82
4000 3284.78
4100 2923.27
4200 3519.17
4300 3268.56
4400 3528.61
4500 3475.8
4600 4062.73
4700 2583.34
4800 3762.23
4900 3532.61
5000 3583.28
5100 3012.02
5200 3412.12
5300 4250.84
5400 2930.78
5500 3265.09
5600 3696.04
5700 3637.09
5800 3308.61
5900 3699.89
6000 4182.95
6100 4002.21
6200 3655.55
6300 4015.21
6400 3580.36
6500 2867.6
6600 3538.22
6700 3634.72
6800 3195.86
6900 3924.72
7000 3714.99
7100 3940.63
7200 3375
7300 3109.57
7400 3517.54
7500 3849.71
7600 3785.97
7700 2821.64
7800 3143.15
7900 3423.49
8000 3124.13
8100 3400.2
8200 3152.45
8300 3543.55
8400 3412.4
8500 3456.72
8600 3509.25
8700 3336.24
8800 3249.08
8900 3543.98
9000 3241.53
9100 3044.19
9200 3353.3
9300 3284.22
9400 3423.77
9500 3835.83
9600 3401.33
9700 4049.78
9800 3555.95
9900 3900.71
10000 3505.92
10100 3333.9
10200 3641.89
10300 3224.63
10400 3066.15
10500 3527.71
10600 3826.11
10700 3429.34
10800 3936.94
10900 3320.07
11000 3510.66
11100 3655.09
11200 3480.88
11300 3918.96
11400 3431.89
11500 2815.39
11600 3472.66
11700 3285.62
11800 3199.92
11900 3670.43
12000 3428.48
12100 3550.43
12200 3467.26
12300 2948.4
12400 3671
12500 3445.84
12600 3752.33
12700 3348.33
12800 3937.26
12900 3471.29
13000 3373
13100 3364.68
13200 4164.65
13300 3268.22
13400 3301.43
13500 3688.92
13600 3149.95
13700 3643.81
13800 4314.02
13900 3358.05
14000 3627.2
14100 3629.4
14200 3360.94
14300 3309.23
14400 3152.06
14500 3306.97
14600 2895.92
14700 3092.85
14800 4238.72
14900 3654.72
15000 3918.51
15100 3992.82
15200 3578.18
15300 3906.22
15400 3743.79
15500 2799.63
15600 3855.43
15700 3242.5
15800 3412.53
15900 3311.21
16000 3530.63
16100 3824.69
16200 3517.7
16300 2689.63
16400 3463.36
16500 2730.57
16600 3150.66
16700 2922.11
16800 3461.99
16900 3409.77
17000 3137.27
17100 4064.4
17200 4034.34
17300 3509.73
17400 3758.72
17500 3897.86
17600 3292.54
17700 3218.45
17800 3282.06
17900 3332.74
18000 3307.83
18100 3337.37
18200 3363.2
18300 3409.17
18400 3707.34
18500 4171.89
18600 3612.84
18700 3645.82
18800 3737.55
18900 3272.65
19000 3635.52
19100 3231
19200 3240.58
19300 3785.04
19400 3166.87
19500 3879.96
19600 3231.26
19700 3561.35
19800 3946.52
19900 4075.78
20000 3824.11
20100 3033.52
20200 2973.12
20300 3403.98
20400 2986.9
20500 3368.22
20600 3473.2
20700 3088.57
20800 3266.7
20900 3433.21
21000 3196.56
21100 3275.98
21200 3381.58
21300 3230.46
21400 3671.89
21500 3642.77
21600 3687.6
21700 3211.4
21800 3561.2
21900 3891.81
22000 3413.76
22100 3495.36
22200 3620.83
22300 3341.05
22400 3706.68
22500 3041
22600 3486.07
22700 3575.7
22800 3352.16
22900 3244.64
23000 3324.08
23100 3454.41
23200 3393.31
23300 3939.42
23400 3580.24
23500 3900.44
23600 3307.68
23700 3596.12
23800 3680.87
23900 3354.49
24000 3676.1
24100 3200.2
24200 3334.23
24300 3638.41
24400 3301.2
24500 3636.37
24600 4026.72
24700 3427.12
24800 4409.37
24900 3247.2
25000 3829.16
25100 3537.73
25200 3916.55
25300 3653.83
25400 3996.1
25500 3442.41
25600 3640.5
25700 4281.54
25800 3375.29
25900 3471.82
26000 4072.6
26100 3945.48
26200 4215.45
26300 3639.03
26400 3698.16
26500 4020
26600 3328.44
26700 3528.88
26800 3441.04
26900 2967.68
27000 3809.62
27100 4570.07
27200 3953.02
27300 4124.58
27400 3367.95
27500 3103.28
27600 2988.33
27700 2803.75
27800 3350.79
27900 2921.85
28000 2855.5
28100 3038.05
28200 3620.67
28300 3234.05
28400 3475.8
28500 3388.86
28600 3487.79
28700 3377.25
28800 3729.44
28900 3509.19
29000 4017.49
29100 3530.18
29200 3041.52
29300 3840.54
29400 3566.87
29500 3785.7
29600 3366.01
29700 3799.49
29800 3300.39
29900 3704.07
30000 3645.52
30100 2948.15
30200 3853.33
30300 4639.69
30400 3771.96
30500 4488.69
30600 3651.96
30700 3418.64
30800 4174.86
30900 3782.08
31000 3968.99
31100 3289.31
