# Time-averaged data for fix myat1
# TimeStep c_Tmobile
0 310
100 296.898
200 313.964
300 317.218
400 369.228
500 269.83
600 330.013
700 303.449
800 322.408
900 264.355
1000 296.656
1100 288.463
1200 300.975
1300 336.119
1400 301.616
1500 382.805
1600 299.874
1700 351.138
1800 345.381
1900 277.98
2000 302.973
2100 293.201
2200 277.887
2300 303.032
2400 315.377
2500 276.299
2600 372.411
2700 297.603
2800 342.355
2900 347.08
3000 312.933
3100 300.22
3200 324.868
3300 331.85
3400 276.125
3500 326.469
3600 276.78
3700 322.424
3800 274.698
3900 284.483
4000 295.935
4100 243.544
4200 317.577
4300 294.183
4400 318.267
4500 323.789
4600 328.083
4700 308.882
4800 344.342
4900 290.035
5000 282.628
5100 305.757
5200 267.239
5300 287.91
5400 285.764
5500 268.685
5600 350.327
5700 301.585
5800 352.904
5900 303.605
6000 363.999
6100 304.049
6200 287.566
6300 294.016
6400 302.15
6500 272.529
6600 305.337
6700 280.015
6800 283.093
6900 343.127
7000 337.074
7100 302.583
7200 337.553
7300 272.798
7400 324.203
7500 295.672
7600 293.159
7700 272.372
7800 353.736
7900 253.414
8000 383.543
8100 317.918
8200 324.913
8300 350.6
8400 300.174
8500 304.521
8600 272.55
8700 288.408
8800 286.336
8900 272.595
9000 323.043
9100 308.277
9200 319.582
9300 329.18
9400 332.249
9500 326.593
9600 332.339
9700 268.038
9800 379.468
9900 269.917
10000 286.298
10100 300.207
10200 294.728
10300 269.941
10400 345.98
10500 298.396
10600 363.466
10700 302.842
10800 377.511
10900 311.296
11000 327.986
11100 291.067
11200 321.571
11300 310.195
11400 307.277
11500 310.732
11600 312.534
11700 331.751
11800 271.295
11900 272.503
12000 312.672
12100 244.78
12200 289.972
12300 309.326
12400 298.097
12500 359.813
12600 338.011
12700 293.992
12800 321.313
12900 339.827
13000 251.093
13100 292.386
13200 309.391
13300 268.166
13400 232.979
13500 255.678
13600 296.096
13700 274.386
13800 260.004
13900 374.902
14000 280.185
14100 335.523
14200 310.074
14300 345.665
14400 321.882
14500 293.281
14600 269.487
14700 300.194
14800 255.957
14900 277.717
15000 310
15100 313.31
15200 342.896
15300 342.001
15400 343.221
15500 286.56
15600 317.582
15700 310.898
15800 297.819
15900 289.502
16000 320.451
16100 258.454
16200 264.622
16300 265.783
16400 246.796
16500 293.49
16600 278.723
16700 353.77
16800 274.805
16900 304.689
17000 313.032
17100 356.04
17200 269.773
17300 365.378
17400 304.651
17500 333.077
17600 318.159
17700 272.348
17800 326.775
17900 279.845
18000 277.721
18100 316.266
18200 259.149
18300 304.706
18400 340.568
18500 311.328
18600 327.905
18700 342.979
18800 319.819
18900 317.777
19000 246.742
19100 304.788
19200 305.48
19300 252.626
19400 364.151
19500 268.314
19600 323.548
19700 337.555
19800 271.113
19900 319.199
20000 324.583
20100 305.855
20200 374.267
20300 288.5
20400 301.024
20500 300.097
20600 267.086
20700 308.196
20800 240.994
20900 316.154
21000 328.45
21100 321.666
21200 339.521
21300 346.175
21400 288.805
21500 307.111
21600 322.59
21700 285.449
21800 278.278
21900 313.275
22000 358.34
22100 288.285
22200 374.65
22300 346.127
22400 308.359
22500 336.691
22600 299.155
22700 304.676
22800 304.695
22900 280.868
23000 318.535
23100 325.436
23200 291.087
23300 357.56
23400 346.026
23500 355.476
23600 331.638
23700 353.509
23800 323.668
23900 287.934
24000 305.895
24100 327.657
24200 290.735
24300 282.349
24400 316.386
24500 290.774
24600 350.282
24700 356.922
24800 367.014
24900 344.064
25000 327.929
25100 327.871
25200 268.269
25300 351.239
25400 314.042
25500 267.765
25600 348.645
25700 252.523
25800 323.895
25900 346.953
26000 320.725
26100 358.902
26200 395.015
26300 283.277
26400 332.957
26500 289.581
26600 293.597
26700 336.57
26800 319.286
26900 305.419
27000 296.431
27100 346.434
27200 302.831
27300 278.728
27400 315.932
27500 275.994
27600 275.584
27700 301.489
27800 332.624
27900 334.96
28000 300.103
28100 370.614
28200 322.99
28300 294.004
28400 308.981
28500 300.488
28600 283.378
28700 272.945
28800 327.813
28900 296.153
29000 299.191
29100 352.373
29200 324.772
29300 336.391
29400 330.342
29500 337.329
29600 314.153
29700 329.845
29800 308.426
29900 284.948
30000 287.428
30100 286.708
30200 320.467
30300 284.485
30400 365.465
30500 358.131
30600 370.874
30700 322.541
30800 352.881
30900 280.402
31000 291.869
31100 303.274
31200 303.072
31300 305.766
31400 301.644
31500 368.424
31600 351.185
