# Time-averaged data for fix myat2
# TimeStep c_Tsurface_inf
0 309.409
100 318.081
200 333.059
300 341.503
400 298.101
500 300.4
600 338.168
700 351.552
800 346.572
900 270.998
1000 340.847
1100 291.691
1200 360.84
1300 287.488
1400 378.867
1500 361.23
1600 342.184
1700 431.599
1800 299.079
1900 280.227
2000 322.073
2100 396.844
2200 314.492
2300 299.977
2400 364.809
2500 257.601
2600 407.362
2700 314.651
2800 431.681
2900 344.312
3000 380.227
3100 335.549
3200 500.649
3300 397.641
3400 435.043
3500 348.435
3600 428.554
3700 399.265
3800 341.534
3900 365.7
4000 290.284
4100 279.471
4200 281.895
4300 301.61
4400 351.483
4500 283.982
4600 394.859
4700 314.838
4800 404.924
4900 341.962
5000 363.516
5100 325.567
5200 359.089
5300 331.85
5400 281.771
5500 372.153
5600 390.048
5700 390.485
5800 423.618
5900 362.135
6000 435.125
6100 302.798
6200 336.178
6300 310.284
6400 329.37
6500 311.009
6600 323.556
6700 345.877
6800 276.221
6900 468.53
7000 475.724
7100 454.824
7200 431.948
7300 344.999
7400 365.447
7500 339.854
7600 326.15
7700 271.244
7800 333.535
7900 308.327
8000 407.438
8100 343.503
8200 308.025
8300 380.001
8400 284.448
8500 328.598
8600 278.212
8700 270.423
8800 321.215
8900 256.578
9000 339.537
9100 362.709
9200 356.471
9300 329.034
9400 402.134
9500 433.859
9600 318.901
9700 335.786
9800 379.481
9900 260.153
10000 231.803
10100 291.191
10200 248.348
10300 211.053
10400 394.263
10500 311.764
10600 326.071
10700 328.651
10800 398.105
10900 345.194
11000 330.874
11100 279.314
11200 306.571
11300 210.115
11400 313.156
11500 253.059
11600 346.722
11700 325.258
11800 274.896
11900 222.195
12000 310.283
12100 176.854
12200 315.383
12300 294.766
12400 259.471
12500 406.505
12600 248.869
12700 311.014
12800 302.423
12900 334.775
13000 224.201
13100 308.557
13200 285.735
13300 331.692
13400 220.349
13500 276.125
13600 211.264
13700 268.72
13800 295.159
13900 340.773
14000 305.918
14100 373.258
14200 327.358
14300 274.427
14400 394.621
14500 231.615
14600 257.652
14700 366.614
14800 274.724
14900 330.736
15000 346.744
15100 344.007
15200 307.462
15300 383.393
15400 333.604
15500 287.255
15600 294.29
15700 288.182
15800 226.47
15900 246.374
16000 265.821
16100 193.976
16200 261.716
16300 238.135
16400 246.498
16500 270.147
16600 289.757
16700 334.647
16800 235.345
16900 431.542
17000 302.717
17100 452.369
17200 266.646
17300 346.791
17400 312.649
17500 282.546
17600 292.255
17700 234.305
17800 343.746
17900 294.472
18000 255.3
18100 308.554
18200 282.52
18300 285.706
18400 391.713
18500 253.535
18600 281.658
18700 352.581
18800 196.798
18900 308.153
19000 278.994
19100 292.498
19200 303.667
19300 243.696
19400 272.359
19500 202.748
19600 250.118
19700 250.196
19800 302.323
19900 241.884
20000 350.959
20100 307.265
20200 325.99
20300 333.083
20400 343.641
20500 352.632
20600 197.779
20700 374.209
20800 268.782
20900 280.486
21000 424.919
21100 310.518
21200 311.743
21300 427.315
21400 249.004
21500 359.467
21600 341.768
21700 350.14
21800 222.654
21900 243.326
22000 379.111
22100 259.995
22200 339.773
22300 350.221
22400 309.477
22500 287.071
22600 322.421
22700 271.375
22800 363.686
22900 262.208
23000 301.235
23100 357.137
23200 207.943
23300 362.089
23400 404.185
23500 322.445
23600 421.71
23700 414.463
23800 319.172
23900 316.601
24000 305.307
24100 284.931
24200 335.692
24300 293.501
24400 353.974
24500 342.05
24600 322.928
24700 305.305
24800 403.652
24900 325.7
25000 339.617
25100 234.428
25200 256.607
25300 221.61
25400 219.744
25500 302.866
25600 254.348
25700 274.619
25800 275.462
25900 421.126
26000 249.739
26100 430.792
26200 392.236
26300 325.45
26400 264.872
26500 295.241
26600 250.806
26700 261.981
26800 138.666
26900 296.904
27000 225.519
27100 308.784
27200 357.444
27300 268.695
27400 336.791
27500 273.226
27600 237.163
27700 299.715
27800 454.03
27900 308.51
28000 271.685
28100 402.02
28200 331.023
28300 288.18
28400 409.325
28500 374.07
28600 289.708
28700 284.803
28800 440.454
28900 283.206
29000 334.292
29100 463.361
29200 249.527
29300 464.735
29400 341.392
29500 298.49
29600 387.614
29700 408.252
29800 225.741
29900 297.828
30000 274.811
30100 258.494
30200 332.766
30300 360.449
30400 425.841
30500 370.384
30600 430.92
30700 371.039
30800 427.93
30900 308.219
31000 333.911
31100 367.167
31200 335.455
31300 338.317
31400 327.889
31500 391.197
31600 337.877
31700 333.21
31800 316.749
31900 402.522
32000 328.44
32100 224.875
32200 450.168
32300 273.899
32400 309.123
32500 337.599
32600 398.288
32700 301.435
32800 468.248
32900 258.484
33000 343.689
33100 332.984
33200 297.008
33300 245.691
33400 371.669
33500 294.685
33600 327.524
33700 262.629
33800 282.085
33900 359.519
34000 256.151
34100 426.272
34200 346.535
34300 261.975
34400 339.206
34500 351.041
34600 299.157
34700 347.762
34800 428.403
