# Time-averaged data for fix myat4
# TimeStep c_Twater
0 330
100 332.831
200 342.989
300 331.742
400 316.35
500 309.158
600 284.301
700 299.007
800 322.475
900 290.805
1000 338.91
1100 317.384
1200 313.016
1300 340.37
1400 312.667
1500 347.427
1600 349.453
1700 360.295
1800 353.349
1900 315.2
2000 315.423
2100 306.953
2200 291.691
2300 319.755
2400 305.879
2500 328.717
2600 347.491
2700 329.776
2800 334.034
2900 317.88
3000 335.201
3100 300.745
3200 319.091
3300 346.231
3400 345.644
3500 321.335
3600 323.992
3700 320.504
3800 313.838
3900 344.24
4000 332.912
4100 321.496
4200 337.15
4300 342.155
4400 364.534
4500 335.788
4600 366.087
4700 311.295
4800 322.276
4900 317.926
5000 323.481
5100 297.639
5200 317.847
5300 318.808
5400 353.684
5500 310.706
5600 319.902
5700 343.87
5800 344.252
5900 400.304
6000 336.211
6100 312.022
6200 319.814
6300 300.581
6400 315.841
6500 334.682
6600 354.878
6700 350.071
6800 288.797
6900 318.105
7000 320.507
7100 303.514
7200 319.837
7300 367.484
7400 329.021
7500 354.448
7600 331.754
7700 323.455
7800 330.143
7900 337.866
8000 340.778
8100 330.614
8200 351.558
8300 331.551
8400 304.164
8500 297.527
8600 266.572
8700 264.808
8800 285.59
8900 265.29
9000 300.669
9100 302.284
9200 363.036
9300 314.894
9400 338.066
9500 326.253
9600 344.614
9700 355.755
9800 338.91
9900 326.671
10000 313.17
10100 301.986
10200 335.667
10300 327.955
10400 357.847
10500 371.833
10600 361.193
10700 357.454
10800 325.946
10900 313.448
11000 338.892
11100 313.649
11200 308.193
11300 339.562
11400 349.674
11500 301.894
11600 345.285
11700 327.205
11800 343.483
11900 327.083
12000 305.611
12100 319.067
12200 286.424
12300 370.813
12400 325.732
12500 394.593
12600 342.599
12700 387.053
12800 337.544
12900 355.091
13000 299.239
13100 326.412
13200 314.041
13300 307.927
13400 314.565
13500 319.018
13600 348.462
13700 349.909
13800 354.469
13900 334.099
14000 356.891
14100 332.253
14200 292.789
14300 329.036
14400 331.786
14500 291.837
14600 330.856
14700 314.08
14800 350.508
14900 322.107
15000 310.204
15100 331.492
15200 352.683
15300 348.636
15400 321.642
15500 356.528
15600 367.153
15700 330.007
15800 336.856
15900 336.111
16000 300.622
16100 324.3
16200 331.538
16300 307.527
16400 292.012
16500 311.075
16600 308.003
16700 372.961
16800 350.684
16900 300.585
17000 343.584
17100 357.457
17200 344.788
17300 322.573
17400 339.81
17500 338.848
17600 308.81
17700 317.975
17800 316.954
17900 277.701
18000 305.826
18100 347.895
18200 329.142
18300 344.861
18400 337.826
18500 346.982
18600 345.726
18700 303.093
18800 318.54
18900 323.883
19000 315.587
19100 312.898
19200 320.763
19300 272.17
19400 276.955
19500 292.71
19600 308.482
19700 319.673
19800 360.295
19900 329.427
20000 313.67
20100 327.673
20200 334.626
20300 350.871
20400 322.804
20500 350.716
20600 354.984
20700 366.57
20800 351.734
20900 317.51
21000 309.8
21100 309.32
21200 291.166
21300 331.84
21400 354.57
21500 351.691
21600 361.026
21700 329.275
21800 307.854
21900 316.161
22000 301.888
22100 312.355
22200 325.687
22300 302.818
22400 324.248
22500 300.289
22600 312.439
22700 338.799
22800 366.786
22900 339.45
23000 332.861
23100 336.146
23200 328.745
23300 327.776
23400 301.941
23500 313.885
23600 328.358
23700 323.469
23800 336.151
23900 307.862
24000 357.169
24100 319.953
24200 347.339
24300 343.112
24400 327.698
24500 309.837
24600 287.677
24700 307.035
24800 294.42
24900 299.88
25000 308.455
25100 331.58
25200 346.327
25300 333.625
25400 330.336
25500 323.155
25600 317.138
25700 349.818
25800 376.831
25900 334.746
26000 367.51
26100 339.674
26200 302.415
26300 309.836
26400 290.061
26500 378.444
26600 336.152
26700 344.25
26800 353.808
26900 318.064
27000 335.326
27100 313.033
27200 302.097
27300 319.32
27400 323.603
27500 365.456
27600 324.66
27700 318.111
27800 330.083
27900 320.644
28000 308.16
28100 338.381
28200 348.53
28300 352.307
28400 376.864
28500 315.363
28600 322.517
28700 316.833
28800 302.077
28900 309.413
29000 303.773
29100 287.883
29200 327.926
29300 308.974
29400 317.518
29500 329.321
29600 310.699
29700 351.75
29800 339.611
29900 353.497
30000 359.657
30100 354.274
30200 350.647
30300 321.152
30400 318.948
30500 302.934
30600 297.431
30700 315.778
30800 350.974
30900 366.274
31000 363.572
31100 376.44
31200 355.406
31300 319.751
31400 321.669
31500 307.224
31600 296.645
31700 338.715
31800 333.464
31900 351.254
32000 315.722
32100 313.338
32200 298.146
32300 339.865
32400 338.749
32500 365.118
32600 333.691
32700 368.163
32800 318.892
32900 322.156
33000 301.273
33100 305.109
33200 311.865
33300 329.063
33400 320.029
33500 304.703
33600 338.844
33700 338.587
33800 363.426
33900 328.26
34000 334.881
34100 312.648
34200 285.366
34300 299.906
34400 316.123
34500 311.971
34600 352.091
34700 355.172
34800 315.503
34900 326.6
35000 353.234
35100 305.164
35200 291.431
35300 313.028
35400 321.687
35500 350.832
35600 370.702
35700 360.951
35800 363.771
35900 331.554
36000 278.811
36100 331.797
36200 278.849
36300 330.176
36400 319.172
36500 334.091
36600 331.252
36700 373.409
36800 350.207
36900 317.89
37000 322.791
37100 304.514
37200 298.118
37300 332.512
37400 355.884
37500 355.928
37600 333.675
37700 342.756
37800 360.354
37900 341.64
38000 318.765
38100 324.591
38200 332.772
38300 345.346
38400 337.295
38500 328.08
38600 340.662
38700 286.116
38800 289.456
38900 290.837
39000 304.969
39100 309.764
39200 331.967
39300 321.393
39400 311.418
39500 325.857
39600 317.166
39700 371.55
39800 353.734
39900 322.589
40000 312.762
40100 329.051
40200 320.675
40300 335.686
40400 351.271
40500 319.957
40600 364.69
40700 402.417
40800 377.317
40900 363.528
41000 357.238
41100 332.685
41200 312.337
41300 328.485
41400 292.564
41500 339.624
41600 335.812
41700 313.408
41800 333.023
41900 329.142
42000 324.231
42100 306.395
42200 321.21
42300 354.315
42400 332.59
42500 361.291
42600 318.749
42700 314.537
42800 307.779
42900 314.835
43000 328.708
43100 324.776
43200 311.981
43300 316.21
43400 310.942
43500 320.204
43600 353.771
43700 336.745
43800 323.9
43900 307.159
44000 324.289
44100 333.776
44200 326.454
44300 318.472
44400 315.104
44500 326.21
44600 304.592
44700 326.929
44800 325.861
44900 341.284
45000 365.492
45100 347.448
45200 353.853
45300 354.862
45400 335.108
45500 318.964
45600 316.062
45700 319.365
45800 299.117
45900 346.962
46000 348.381
46100 345.445
46200 340.557
46300 367.95
46400 384.475
46500 326.845
46600 318.314
46700 293.778
46800 284.087
46900 283.889
47000 313.41
47100 304.532
47200 354.72
47300 363.999
47400 349.497
47500 326.75
47600 343.104
47700 324.529
47800 319.336
47900 334.059
48000 295.753
48100 279.936
48200 291.083
48300 300.526
48400 298.57
48500 280.054
48600 337.519
48700 321.335
48800 325.623
