#step pe ke etotal temp press vol
0 -1810.9134286896871799 8.8801719615000003216 -1802.0332567281870979 280.40816326530608649 3534.9741794311566991 2683.2073089264999908
1000 -1811.6758240215917795 8.6288988979945528968 -1803.0469251235972479 272.47374279224720794 3434.9486624333667351 2683.2073089264999908
2000 -1812.2881790156855004 8.556507494683495807 -1803.7316715210019993 270.18784782009367973 3406.1314567951380923 2683.2073089264999908
3000 -1811.131274128675841 8.5026204478156781619 -1802.628653680860225 268.48626277179647559 3384.6803722767976979 2683.2073089264999908
4000 -1810.9199175221042424 8.8836176765462546712 -1802.0362998455580055 280.5169682109135465 3536.3458323418208238 2683.2073089264999908
5000 -1809.6117409356552344 8.6180605343431082588 -1800.9936804013120764 272.1315010364028808 3430.6341811574120584 2683.2073089264999908
6000 -1812.3823571547954998 8.0904881599901887768 -1804.291868994805327 255.47240917160641516 3220.6208245237489791 2683.2073089264999908
7000 -1810.5887170114497167 7.9600282445555512467 -1802.628688766894129 251.35289150625314392 3168.6879977145799785 2683.2073089264999908
8000 -1810.6385822740332969 8.3840591180354060441 -1802.2545231559979584 264.74246536988641765 3337.4840745846645405 2683.2073089264999908
9000 -1811.0748377595205056 7.7856179568066581353 -1803.2892198027138875 245.8455580160602949 3099.2596278032215196 2683.2073089264999908
10000 -1812.067935834764512 8.316467808523825056 -1803.7514680262406728 262.60814240463184888 3310.5776661374779906 2683.2073089264999908
11000 -1811.0711497294787478 8.4710099309244650811 -1802.6001397985542098 267.48810113486410955 3372.0970167411874172 2683.2073089264999908
12000 -1811.9198114943455948 8.8933794025663068794 -1803.0264320917792702 280.82521310475675591 3540.2317311258952941 2683.2073089264999908
13000 -1811.1987032896117853 8.253300207632277008 -1802.9454030819795207 260.61350637498418337 3285.4322253626446582 2683.2073089264999908
14000 -1810.2939892119550223 7.655151472970449511 -1802.6388377389846482 241.72583294105010054 3047.3241862778004361 2683.2073089264999908
15000 -1810.1028982565785554 9.2143420459413807322 -1800.8885562106372618 290.9602133835553559 3667.9989254788752078 2683.2073089264999908
16000 -1810.2242205002180526 8.7548368113232744037 -1801.4693836888948226 276.45046971995492413 3485.0813933938225091 2683.2073089264999908
17000 -1810.9570430206363199 8.8193478673127412293 -1802.1376951533236479 278.48752787589359059 3510.7616300152863005 2683.2073089264999908
18000 -1811.2967214433947447 9.2500936328398051245 -1802.0466278105550373 292.08913710929743957 3682.2307373297653612 2683.2073089264999908
