# Time-averaged data for fix myat3
# TimeStep c_Tsurface_sup
0 282.881
100 348.873
200 372.795
300 330.546
400 453.047
500 340.393
600 343.018
700 347.495
800 392.853
900 364.148
1000 275.65
1100 311.595
1200 256.683
1300 313.378
1400 303.396
1500 451.133
1600 329.042
1700 371.226
1800 327.875
1900 262.35
2000 307.313
2100 324.692
2200 270.429
2300 357.069
2400 382.817
2500 305.035
2600 455.73
2700 420.544
2800 364.339
2900 380.046
3000 346.855
3100 273.309
3200 301.511
3300 288.161
3400 339.445
3500 270.45
3600 230.32
3700 319.842
3800 212.303
3900 306.92
4000 354.868
4100 263.396
4200 277.742
4300 269.829
4400 247.953
4500 338.387
4600 288.811
4700 374.936
4800 345.876
4900 382.607
5000 386.023
5100 463.096
5200 335.413
5300 351.761
5400 266.467
5500 400.603
5600 220.516
5700 213.004
5800 322.101
5900 270.707
6000 190.24
6100 327.237
6200 315.221
6300 310.946
6400 382.39
6500 428.483
6600 480.804
6700 232.729
6800 397.365
6900 323.814
7000 268.852
7100 328.807
7200 254.37
7300 272.013
7400 384.548
7500 257.538
7600 354.546
7700 388.218
7800 352.41
7900 354.185
8000 307.536
8100 297.729
8200 304.131
8300 276.513
8400 273.318
8500 367.426
8600 278.159
8700 415.125
8800 373.683
8900 334.061
9000 445.486
9100 236.261
9200 359.027
9300 286.998
9400 271.166
9500 369.686
9600 205.45
9700 290.477
9800 379.286
9900 219.907
10000 418.457
10100 416.04
10200 274.869
10300 371.963
10400 292.15
10500 213.592
10600 299.191
10700 248.256
10800 282.925
10900 259.689
11000 230.949
11100 306.317
11200 321.476
11300 295.852
11400 240.668
11500 315.062
11600 316.859
11700 195.694
11800 314.344
11900 372.95
12000 334.741
12100 313.3
12200 475.164
12300 267.497
12400 369.681
12500 330.307
12600 349.453
12700 351.621
12800 237.708
12900 237.08
13000 217.108
13100 200.334
13200 215.726
13300 300.826
13400 208.316
13500 302.651
13600 276.946
13700 284.484
13800 301.589
13900 277.958
14000 284.767
14100 348.108
14200 255.323
14300 305.556
14400 322.26
14500 288.25
14600 325.241
14700 338.211
14800 305.337
14900 252.031
15000 204.775
15100 327.419
15200 308.529
15300 241.817
15400 348.452
15500 304.173
15600 291.278
15700 313.508
15800 329.032
15900 333.411
16000 323.065
16100 286.894
16200 386.411
16300 260.369
16400 349.246
16500 252.672
16600 271.798
16700 288.064
16800 260.576
16900 272.236
17000 277.486
17100 181.585
17200 308.718
17300 257.446
17400 186.564
17500 275.699
17600 253.085
17700 159.198
17800 329.096
17900 243.222
18000 262.291
18100 303.42
18200 217.523
18300 300.953
18400 182.448
18500 290.745
18600 173.174
18700 142.865
18800 228.878
18900 146.046
19000 188.589
19100 231.802
19200 294.521
19300 270.46
19400 239.836
19500 228.938
19600 247.572
19700 316.574
19800 226.322
19900 293.515
20000 150.534
20100 234.545
20200 176.549
20300 234.638
20400 231.892
20500 233.56
20600 202.204
20700 290.371
20800 196.618
20900 217.391
21000 285.584
21100 278.898
21200 280.802
21300 229.701
21400 283.977
21500 269.07
21600 185.332
21700 251.72
21800 184.239
21900 256.718
22000 213.723
22100 287.277
22200 233.508
22300 276.466
22400 236.789
22500 199.295
22600 280.659
22700 214.63
22800 248.18
22900 170.844
23000 295.642
23100 203.571
23200 250.502
23300 252.925
23400 263.867
23500 216.728
23600 308.759
23700 272.219
23800 248.968
23900 395.452
24000 244.814
24100 370.263
24200 264.474
24300 285.126
24400 279.11
24500 244.476
24600 225.232
24700 225.549
24800 274.101
24900 192.332
25000 212.511
25100 359.781
25200 211.05
25300 241.184
25400 385.509
25500 300.458
25600 241.654
25700 330.192
25800 247.394
25900 181.176
26000 317.179
26100 258.534
26200 255.47
26300 330.13
26400 224.997
26500 356.159
26600 257.949
26700 222.318
26800 349.048
26900 321.648
27000 193.758
27100 372.656
27200 233.381
27300 314.171
27400 318.82
27500 314.654
27600 395.201
27700 310.812
27800 237.969
27900 380.775
28000 305.521
28100 283.934
28200 302.64
28300 289.765
28400 333.987
28500 243.924
28600 331.755
28700 389.732
28800 279.852
28900 306.639
29000 384.915
29100 283.814
29200 270.632
29300 253.951
29400 280.846
29500 254.576
29600 263.125
29700 212.062
29800 324.747
29900 287.644
30000 341.796
30100 384.36
30200 295.482
30300 477.674
30400 365.041
30500 374.734
30600 394.662
30700 258.416
30800 297.07
30900 332.259
31000 237.628
31100 274.377
31200 290.065
31300 221.683
31400 312.654
31500 326.136
31600 270.401
31700 466.016
31800 369.301
31900 266.746
32000 432.1
32100 325.345
32200 284.303
32300 308.36
32400 380.834
32500 246.128
32600 330.01
32700 240.133
32800 261.94
32900 262.067
