# Time-averaged data for fix myat5
# TimeStep c_Press[3]
0 -6764.09
100 225.143
200 4353.83
300 6675.26
400 3201.9
500 4166.48
600 -2927.18
700 -3079.39
800 -2741.28
900 -1237.53
1000 -2643.68
1100 4295.17
1200 1260.53
1300 3084.27
1400 -8036.7
1500 -7486.42
1600 1695.29
1700 3800.81
1800 5754.39
1900 -558.642
2000 -3119.81
2100 -6483.81
2200 -6010
2300 -2175.87
2400 456.325
2500 2535.58
2600 -2402.47
2700 1981.95
2800 -105.315
2900 -5514.91
3000 -2281.82
3100 -6974.65
3200 -3810.74
3300 -1169.73
3400 661.29
3500 2693.81
3600 928.953
3700 -7060.75
3800 6221.73
3900 1599.83
4000 4542.61
4100 3849.66
4200 1866.9
4300 -3732.76
4400 -6046.97
4500 5673.07
4600 11274.5
4700 -195.885
4800 -5600.03
4900 -9461.38
5000 -10489.3
5100 -2296.24
5200 971.641
5300 117.266
5400 20.6901
5500 3631.35
5600 -2865.33
5700 -1294.77
5800 -10612.9
5900 -7075.28
6000 838.852
6100 -2330.99
6200 -2743.98
6300 -877.736
6400 -12872.3
6500 -5463.48
6600 -853.896
6700 4419.6
6800 3803.68
6900 6029.88
7000 -4024.35
7100 -7448.57
7200 -12355.4
7300 -6198.87
7400 -6174.43
7500 7972.8
7600 2812.55
7700 7901.17
7800 435.28
7900 -1570.02
8000 -5495.75
8100 -2336.63
8200 -1732.61
8300 -984.002
8400 6980.32
8500 9656.11
8600 3728.52
8700 -903.776
8800 -3105.23
8900 -5530.41
9000 1299.04
9100 -116.401
9200 381.249
9300 3907.16
9400 4750.46
9500 135.455
9600 -1816.13
9700 189.997
9800 -3671.51
9900 -128.116
10000 -995.566
10100 -229.319
10200 1197.32
10300 4758.62
10400 824.937
10500 -1411.34
10600 -1785.31
10700 -1983.43
10800 -1794.91
10900 -1888.16
11000 -3473.22
11100 -5518.27
11200 -8.14816
11300 -4584.89
11400 11466.4
11500 9536.06
11600 8165.22
11700 -388.072
11800 -6149.36
11900 -6658.78
12000 -12397
12100 -5028.26
12200 1813.62
12300 5030.17
12400 2205.89
12500 -1355.88
12600 884.138
12700 -8654.65
12800 -7858.85
12900 -6325.27
13000 320.692
13100 3301.42
13200 4395.26
13300 73.1857
13400 -6953.89
13500 -12512.8
13600 -12138.6
13700 -660.253
13800 10270.7
13900 10529.2
14000 2903.1
14100 -4940.04
14200 -5061.16
14300 -10910.7
14400 -5499.45
14500 -3149.14
14600 4724.61
14700 4546.96
14800 229.66
14900 -9591.3
15000 -10690.6
15100 -9448.23
15200 -7599.51
15300 -4228.69
15400 -1849.04
15500 -8900.47
15600 -6264.18
15700 -3932.85
15800 1276.17
15900 5404.34
16000 1003.53
16100 -2058.71
16200 1759.86
16300 -3875.84
16400 -2732.01
16500 501.037
16600 -301.265
16700 1812.72
16800 -2976.72
16900 -2714
17000 -2876.46
17100 279.252
17200 -3620.9
17300 -3749.94
17400 -9669.71
17500 -697.92
17600 -3307.85
17700 -1615
17800 1057.22
17900 -539.157
18000 1591.56
18100 1611.28
