# Time-averaged data for fix myat1
# TimeStep c_Tmobile
0 310
100 293.293
200 315.944
300 326.656
400 373.549
500 271.391
600 342.693
700 302.254
800 293.755
900 275.303
1000 295.396
1100 265.836
1200 359.101
1300 300.374
1400 309.65
1500 370.683
1600 318.221
1700 294.596
1800 367.573
1900 279.674
2000 327.235
2100 290.399
2200 319.977
2300 315.03
2400 296.958
2500 306.255
2600 374.553
2700 278.917
2800 318.926
2900 270.026
3000 311.012
3100 300.493
3200 239.29
3300 294.455
3400 357.339
3500 242.175
3600 333.595
3700 370.507
3800 344.002
3900 293.504
4000 349.641
4100 301.834
4200 314.331
4300 282.613
4400 297.639
4500 334.809
4600 291.933
4700 289.093
4800 323.585
4900 354.274
5000 321.212
5100 383.241
5200 342.218
5300 362.98
5400 304.147
5500 298.996
5600 344.173
5700 261.909
5800 312.156
5900 318.704
6000 277.354
6100 317.076
6200 351.765
6300 235.926
6400 284.994
6500 349.222
6600 250.603
6700 363.348
6800 329.915
6900 333.881
7000 354.652
7100 304.517
7200 294.754
7300 273.554
7400 289.864
7500 302.647
7600 343.97
7700 297.199
7800 292.022
7900 313.271
8000 311.809
8100 305.223
8200 349.296
8300 376.425
8400 335.033
8500 340.865
8600 319.646
8700 314.141
8800 339.184
8900 292.261
9000 286.908
9100 323.241
9200 296.826
9300 285.445
9400 343.653
9500 314.984
9600 332.034
9700 336.436
9800 374.637
9900 296.324
10000 297.541
10100 316.848
10200 276.285
10300 281.386
10400 293.732
10500 297.736
10600 305.24
10700 326.466
10800 343.48
10900 310.28
11000 305.603
11100 299.716
11200 266.919
11300 259.735
11400 297.442
11500 285.514
11600 296.027
11700 337.267
11800 297.973
11900 310.529
12000 318.162
12100 306.208
12200 350.25
12300 289.311
12400 287.26
12500 273.844
12600 279.75
12700 261.015
12800 275.859
12900 317.38
13000 317.297
13100 265.176
13200 381.638
13300 289.682
13400 300.756
13500 287.129
13600 340.591
13700 341.454
13800 336.582
13900 356.466
14000 323.199
14100 316.23
14200 276.546
14300 308.221
14400 286.207
14500 333.13
14600 272.979
14700 354.879
14800 312.306
14900 369.36
15000 349.465
15100 346.017
15200 322.772
15300 302.476
15400 309.079
15500 319.349
15600 245.062
15700 325.393
15800 276.935
15900 299.973
16000 333.151
16100 321.38
16200 311.841
16300 331.333
16400 336.846
16500 314.881
16600 339.746
16700 281.679
16800 308.419
16900 272.076
17000 335.72
17100 306.238
17200 297.552
17300 359.598
17400 384.354
17500 322.712
17600 334.101
17700 337.673
17800 290.509
17900 284.095
18000 304.658
18100 315.768
18200 292.616
18300 288.603
18400 312.876
18500 376.999
18600 310.901
18700 331.602
18800 364.285
18900 323.389
19000 321.104
19100 292.144
19200 329.082
19300 285.689
19400 303.441
19500 302.411
19600 337.417
19700 326.298
19800 352.291
19900 363.233
20000 317.064
20100 361.747
20200 293.85
20300 242.842
20400 351.016
20500 318.753
20600 273.971
20700 325.031
20800 317.768
20900 401.232
21000 304.795
21100 310.782
21200 331.882
21300 291.123
21400 278.533
21500 307.725
21600 263.679
21700 303.351
21800 295.92
21900 311.558
22000 305.426
22100 339.98
22200 356.758
22300 318.903
22400 313.474
22500 302.761
22600 282.955
22700 262.833
22800 305.412
22900 306.966
23000 362.517
23100 336.06
23200 345.919
23300 349.76
23400 319.611
23500 312.243
23600 295.041
23700 306.869
23800 335.703
23900 258.39
24000 343.253
24100 321.9
24200 337.215
24300 350.702
24400 345.37
24500 352.649
24600 320.012
24700 302.451
24800 289.86
24900 298.323
25000 313.767
25100 306.557
25200 282.6
25300 359.87
25400 298.424
25500 384.611
25600 354.102
25700 325.476
25800 361.637
25900 298.037
26000 332.115
26100 290.736
26200 297.28
26300 309.567
26400 337.536
26500 286.761
26600 315.605
26700 235.873
26800 296.679
26900 252.077
27000 255.585
27100 329.007
27200 302.497
27300 270.187
27400 329.581
27500 355.891
27600 297.388
27700 297.457
27800 319.639
27900 290.926
28000 285.547
28100 258.167
28200 274.779
28300 263.101
28400 307.209
28500 272.084
28600 330.246
28700 316.645
28800 357.626
28900 267.217
29000 383.063
29100 265.467
29200 332.89
29300 272.42
29400 282.91
29500 281.855
29600 327.398
29700 297.031
29800 352.137
29900 337.178
30000 331.63
30100 298.174
30200 290.121
30300 345.064
30400 265.034
30500 274.699
30600 284.07
30700 268.313
30800 304.01
30900 271.716
31000 329.733
31100 333.628
31200 335.814
31300 311.926
31400 362.069
31500 262.89
31600 319.088
31700 240.259
31800 296.817
31900 304.552
32000 302.555
32100 279.496
32200 355.473
32300 303.439
32400 302.197
32500 315.046
32600 310.015
32700 320.848
32800 353.708
32900 317.648
33000 387.668
33100 352.674
33200 326.081
33300 278.023
33400 316.547
33500 286.831
33600 318.957
33700 298.343
33800 337.433
33900 353.301
34000 311.023
34100 304.661
34200 297.561
34300 273.35
34400 264.283
34500 303.196
34600 325.071
34700 293.041
34800 303.628
34900 351.777
35000 317.064
35100 325.586
35200 298.348
35300 302.727
35400 325.641
35500 341.203
35600 248.436
35700 330.64
35800 257.226
35900 293.72
36000 287.107
36100 311.09
36200 300.478
36300 317.501
36400 345.636
36500 355.09
36600 293.412
36700 349.333
36800 317.068
36900 262.076
37000 325.787
37100 278.452
37200 278.662
37300 325.739
37400 299.833
37500 339.892
37600 371.608
37700 336.071
37800 289.91
37900 289.756
38000 297.623
38100 250.865
38200 299.691
38300 298.764
38400 352.671
38500 291.31
38600 342.787
38700 346.399
38800 311.306
38900 286.65
39000 320.081
39100 265.625
39200 276.722
39300 283.994
39400 297.853
39500 314.407
39600 299.9
39700 342.86
39800 313.467
39900 284.377
40000 370.922
40100 291.694
40200 285.248
40300 304.406
40400 314.862
40500 304.779
40600 311.489
40700 304.712
40800 318.906
40900 297.826
41000 302.017
41100 282.474
41200 320.235
41300 376.393
41400 340.06
41500 302.517
41600 351.378
41700 272.682
41800 316.012
41900 266.619
42000 284.128
42100 311.031
42200 359.115
42300 264.945
42400 358.33
42500 301.744
42600 285.16
42700 273.573
42800 282.262
42900 361.704
43000 278.28
43100 351.591
43200 341.869
43300 382.477
43400 290.175
43500 301.676
43600 299.575
43700 326.415
43800 250.164
43900 304.08
44000 319.092
44100 294.412
44200 308.153
44300 316.628
44400 328.072
44500 292.073
44600 326.334
44700 280.881
44800 299.708
44900 277.244
45000 283.005
45100 317.346
45200 286.826
45300 350.582
45400 322.954
45500 334.421
45600 351.972
45700 329.318
45800 304.584
45900 323.035
46000 289.723
46100 300.95
46200 311.686
46300 269.681
46400 308.892
46500 302.361
46600 339.934
46700 303.9
46800 365.569
46900 333.203
47000 344.734
47100 343.113
47200 295.488
47300 334.574
47400 304.757
47500 311.285
47600 294.481
47700 294.001
47800 280.009
47900 279.589
48000 377.822
48100 315.963
48200 335.092
48300 326.339
48400 333.04
48500 277.256
48600 294.692
48700 296.297
48800 306.436
48900 308.901
49000 271.572
49100 290.027
49200 296.611
49300 302.485
49400 281.852
49500 337.632
49600 329.275
49700 339.591
49800 302.829
49900 307.257
50000 287.068
50100 284.071
50200 291.042
50300 241.955
50400 277.458
50500 339.531
50600 242.322
50700 294.002
50800 332.333
50900 321.781
51000 297.254
51100 300.153
51200 344.862
51300 299.385
51400 344.357
51500 379.12
51600 314.122
51700 363.917
51800 367.618
51900 279.674
52000 302.802
52100 304.159
52200 301.992
52300 280.122
52400 324.051
52500 315.36
52600 346.89
52700 316.622
52800 363.762
52900 300.239
53000 298.484
53100 307.255
53200 261.59
53300 290.904
53400 330.009
53500 285.132
53600 326.159
53700 324.1
53800 323.578
53900 359.786
54000 439.432
54100 351.759
54200 399.293
54300 343.684
54400 326.2
54500 317.841
54600 276.456
54700 299.847
54800 290.428
54900 275.101
55000 322.817
55100 291.669
55200 296.675
55300 360.597
55400 329.819
55500 317.883
55600 354.539
55700 333.153
55800 268.549
55900 318.049
56000 292.056
56100 309.369
56200 297.304
56300 327.019
56400 341.189
56500 297.67
56600 343.51
56700 302.029
56800 294.071
56900 299.649
57000 287.993
57100 282.417
57200 294.268
57300 342.519
57400 284.063
57500 359.954
57600 342.095
57700 320.267
57800 318.726
57900 324.979
58000 312.685
58100 326.118
58200 329.22
58300 265.491
58400 313.713
58500 315.735
58600 289.52
58700 284.333
58800 319.76
58900 334.431
59000 296.14
59100 363.375
59200 380.946
59300 359.804
59400 342.314
59500 400.61
59600 267.076
59700 327.416
59800 303.276
59900 288.566
60000 316.238
60100 304.869
60200 296.44
60300 306.181
60400 314.679
60500 346.584
60600 353.24
60700 325.412
60800 357.991
60900 341.615
61000 328.301
61100 317.742
61200 287.026
61300 307.737
61400 308.042
61500 298.824
61600 339.757
61700 320.751
61800 406.756
61900 335.996
62000 302.555
62100 362.692
62200 279.689
62300 296.392
62400 302.762
62500 284.453
62600 293.139
62700 322.029
62800 324.159
62900 346.985
63000 352.17
63100 367.028
63200 334.241
63300 326.092
63400 336.967
63500 248.31
63600 339.628
63700 257.017
63800 309.722
63900 306.001
64000 336.421
64100 316.461
64200 330.18
64300 330.262
64400 342.252
64500 283.142
64600 349.845
64700 282.98
64800 295.741
64900 285.667
65000 280.579
65100 279.438
65200 325.443
65300 316.209
65400 343.533
65500 317.82
65600 343.921
65700 303.041
65800 338.817
65900 316.73
66000 306.733
66100 296.535
66200 325.626
66300 274.88
66400 290.852
66500 346.151
66600 300.878
66700 293.361
66800 330.237
66900 299.604
67000 278.529
67100 339.415
67200 279.067
67300 329.219
67400 319.993
67500 334.873
67600 334.907
67700 355.21
67800 369.877
67900 321.791
68000 329.592
68100 311.078
68200 313.836
68300 309.785
68400 308.241
68500 303.594
68600 314.233
68700 323.957
68800 288.774
68900 315.975
69000 279.624
69100 309.315
69200 288.118
69300 320.257
69400 301.546
69500 347.992
69600 321.823
69700 344.59
69800 306.607
69900 339.028
70000 279.738
70100 309.765
70200 280.206
70300 299.812
70400 318.198
70500 272.708
70600 357.01
70700 349.295
70800 299.396
70900 354.238
71000 356.358
71100 317.399
71200 328.693
71300 295.003
71400 328.779
71500 270.297
71600 265.158
71700 339.939
71800 281.385
71900 324.291
72000 347.818
72100 294.358
72200 343.267
72300 290.362
72400 300.06
72500 330.914
72600 273.201
72700 305.99
72800 266.177
72900 243.934
