# Time-averaged data for fix myat2
# TimeStep c_Tsurface_inf
0 309.409
100 317.959
200 327.692
300 372.175
400 309.664
500 297.177
600 344.223
700 365.185
800 295.604
900 285.63
1000 300.98
1100 271.959
1200 381.804
1300 318.455
1400 367.694
1500 333.941
1600 286.386
1700 399.56
1800 285.728
1900 271.725
2000 362.965
2100 286.639
2200 287.087
2300 342.965
2400 304.011
2500 274.57
2600 467.668
2700 322.011
2800 384.764
2900 308.878
3000 309.109
3100 279.902
3200 244.85
3300 195.368
3400 341.366
3500 192.752
3600 318.596
3700 519.496
3800 382.607
3900 360.35
4000 378.144
4100 359.543
4200 281.031
4300 411.483
4400 271.927
4500 414.422
4600 297.568
4700 230.527
4800 295.311
4900 285.72
5000 403.641
5100 367.981
5200 286.193
5300 396.947
5400 314.184
5500 328.297
5600 325.975
5700 238.128
5800 326.556
5900 370.242
6000 255.46
6100 359.51
6200 375.805
6300 229.597
6400 342.2
6500 392.045
6600 351.967
6700 429.875
6800 466.98
6900 451.782
7000 540.752
7100 361.191
7200 421.221
7300 312.036
7400 454.447
7500 485.868
7600 431.179
7700 428.939
7800 362.177
7900 300.445
8000 524.389
8100 402.061
8200 433.846
8300 594.691
8400 446.383
8500 499.877
8600 427.092
8700 506.733
8800 540.437
8900 337.923
9000 456.657
9100 421.639
9200 417.963
9300 293.011
9400 416.817
9500 489.379
9600 413.203
9700 448.03
9800 528.538
9900 348.962
10000 337.835
10100 374.746
10200 356.151
10300 271.799
10400 374.589
10500 273.412
10600 376.007
10700 569.642
10800 375.63
10900 439.052
11000 417.534
11100 315.215
11200 310.96
11300 328.446
11400 400.894
11500 373.194
11600 431.532
11700 444.846
11800 404.158
11900 410.224
12000 323.889
12100 358.933
12200 434.438
12300 278.85
12400 292.02
12500 299.208
12600 225.344
12700 280.523
12800 250.637
12900 323.995
13000 352.102
13100 236.028
13200 435.835
13300 309.183
13400 331.437
13500 299.343
13600 386.176
13700 342.396
13800 333.372
13900 299.478
14000 349.759
14100 309.123
14200 347.295
14300 257.652
14400 320.308
14500 401.135
14600 228.071
14700 380.685
14800 435.705
14900 376.752
15000 321.529
15100 298.801
15200 395.656
15300 369.673
15400 287.823
15500 409.547
15600 322.962
15700 380.232
15800 350.631
15900 382.532
16000 404.699
16100 368.153
16200 291.036
16300 350.778
16400 363.514
16500 339.626
16600 366.402
16700 278.111
16800 325.959
16900 220.576
17000 446.093
17100 315.537
17200 338.162
17300 403.19
17400 406.591
17500 351.162
17600 407.246
17700 410.615
17800 370.604
17900 343.819
18000 343.109
18100 354.64
18200 285.652
18300 300.993
18400 352.189
18500 408.794
18600 338.025
18700 421.413
18800 462.569
18900 434.798
19000 333.101
19100 406.489
19200 377.87
19300 311.245
19400 391.231
19500 273.546
19600 417.021
19700 380.195
19800 451.717
19900 323.618
20000 328.293
20100 330.184
20200 362.862
20300 234.785
20400 476.738
20500 436.094
20600 310.748
20700 339.366
20800 391.792
20900 444.772
21000 295.847
21100 417.913
21200 317.817
21300 342.535
21400 378.535
21500 385.261
21600 243.975
21700 441.708
21800 324.716
21900 338.001
22000 389.914
22100 388.733
22200 427.498
22300 328.994
22400 368.851
22500 411.321
22600 327.262
22700 364.479
22800 336.355
22900 413.843
23000 366.99
23100 277.698
23200 405.139
23300 296.602
23400 420.62
23500 356.684
23600 347.962
23700 262.41
23800 357.566
23900 270.857
24000 298.12
24100 407.433
24200 359.009
24300 387.17
24400 325.124
24500 392.13
24600 449.151
24700 328.092
24800 345.879
24900 363.938
25000 281.34
25100 458.617
25200 247.095
25300 430.987
25400 383.887
25500 262.672
25600 485.162
25700 265.116
25800 331.851
25900 349.505
26000 243.475
26100 277.661
26200 303.049
26300 331.149
26400 521.942
26500 314.264
26600 287.201
26700 307.797
26800 336.92
26900 259.772
27000 358.477
27100 347.007
27200 304.603
27300 273.495
27400 273.649
27500 393.372
27600 264.378
27700 292.677
27800 326.538
27900 322.275
28000 260.1
28100 279.245
28200 293.483
28300 316.659
28400 349.901
28500 246.273
28600 342.228
28700 328.746
28800 382.448
28900 231.097
29000 524.436
29100 229.391
29200 357.561
29300 282.861
29400 328.231
29500 288.456
29600 384.089
29700 266.175
29800 363.826
29900 401.469
30000 408.552
30100 290.865
30200 409.242
30300 382.251
30400 247.925
30500 308.998
30600 267.632
30700 252.017
30800 319.596
30900 277.466
31000 292.487
31100 343.168
31200 330.917
31300 272.532
31400 354.91
31500 294.17
31600 355.972
31700 264.969
31800 293.855
31900 255.039
32000 261.657
32100 282.787
32200 324.829
32300 252.562
32400 268.945
32500 356.009
32600 283.574
32700 362.263
32800 379.469
32900 287.544
33000 420.413
33100 334.918
33200 394.548
33300 245.074
33400 302.273
33500 310.411
33600 278.707
33700 393.19
33800 315.914
33900 320.647
34000 273.577
34100 233.686
34200 327.023
34300 212.213
34400 219.742
34500 275.828
34600 246.397
34700 309.187
34800 274.134
34900 371.012
