# Time-averaged data for fix myat3
# TimeStep c_Tsurface_sup
0 282.881
100 340.387
200 385.549
300 329.532
400 456.199
500 342.589
600 392.173
700 351.693
800 318.229
900 334.799
1000 278.515
1100 289.661
1200 356.227
1300 337.976
1400 277.021
1500 500.874
1600 325.807
1700 260.669
1800 523.239
1900 237.669
2000 373.062
2100 293.729
2200 383.851
2300 237.979
2400 342.968
2500 306.615
2600 394.547
2700 322.341
2800 302.8
2900 293.427
3000 328.529
3100 320.997
3200 253.775
3300 278.217
3400 404.915
3500 181.264
3600 341.808
3700 290.419
3800 387.377
3900 275.84
4000 369.102
4100 301.028
4200 285.563
4300 284.449
4400 306.345
4500 280.857
4600 263.347
4700 245.271
4800 319.734
4900 328.707
5000 344.905
5100 284.399
5200 394.839
5300 280.052
5400 314.847
5500 303.792
5600 389.034
5700 212.318
5800 286.845
5900 303.021
6000 278.423
6100 273.747
6200 404.67
6300 204.167
6400 298.657
6500 297.579
6600 228.612
6700 354.568
6800 287.502
6900 310.662
7000 293.4
7100 281.87
7200 235.934
7300 290.4
7400 252.918
7500 308.07
7600 347.765
7700 192.099
7800 309.315
7900 228.337
8000 215.426
8100 261.583
8200 271.963
8300 203.916
8400 261.315
8500 286.288
8600 298.588
8700 254.777
8800 206.805
8900 248.62
9000 211.634
9100 241.363
9200 266.701
9300 252.681
9400 239.703
9500 198.035
9600 234.209
9700 256.464
9800 290.815
9900 283.272
10000 342.114
10100 270.395
10200 295.423
10300 274.463
10400 264.368
10500 356.042
10600 213.316
10700 302.526
10800 320.652
10900 324.379
11000 285.746
11100 303.207
11200 290.558
11300 213.525
11400 255.667
11500 315.571
11600 258.475
11700 356.983
11800 191.68
11900 262.785
12000 279.498
12100 239.966
12200 242.442
12300 269.447
12400 196.826
12500 187.277
12600 208.433
12700 247.269
12800 253.752
12900 303.729
13000 283.678
13100 277.807
13200 249.136
13300 355.905
13400 298.014
13500 333.584
13600 343.12
13700 239.349
13800 297.219
13900 240.772
14000 352.164
14100 293.227
14200 253.553
14300 332.113
14400 215.001
14500 297.845
14600 313.89
14700 307.003
14800 279.364
14900 283.532
15000 319.712
15100 307.542
15200 257.049
15300 277.918
15400 336.232
15500 237.158
15600 244.912
15700 313.378
15800 246.707
15900 303.366
16000 309.593
16100 302.414
16200 352.334
16300 266.781
