# Time-averaged data for fix myat4
# TimeStep c_Twater
0 330
100 331.137
200 309.509
300 347.165
400 338.498
500 350.267
600 295.792
700 320.321
800 308.75
900 329.539
1000 331.2
1100 341.911
1200 348.551
1300 342.3
1400 334.615
1500 360.369
1600 330
1700 326.534
1800 295.783
1900 285.419
2000 285.544
2100 280
2200 283.436
2300 324.584
2400 312.097
2500 296.427
2600 331.771
2700 332.659
2800 344.916
2900 326.888
3000 308.656
3100 348.713
3200 339.286
3300 294.56
3400 338.999
3500 305.273
3600 329.662
3700 331.124
3800 293.513
3900 335.856
4000 343.702
4100 343.153
4200 337.62
4300 352.464
4400 327.591
4500 323.485
4600 314.007
4700 324.317
4800 338.137
4900 333.69
5000 323.88
5100 317.89
5200 319.615
5300 292.275
5400 348.493
5500 329.113
5600 350.454
5700 320.689
5800 310.437
5900 304.216
6000 322.5
6100 369.665
6200 350.544
6300 352.285
6400 301.98
6500 338.094
6600 329.7
6700 329.549
6800 327.089
6900 304.367
7000 326.341
7100 341.708
7200 328.478
7300 373.289
7400 370.513
7500 324.844
7600 313.785
7700 308.023
7800 293.068
7900 302.5
8000 310.847
8100 306.987
8200 320.745
8300 323.526
8400 320.563
8500 333.347
8600 334.516
8700 371.681
8800 358.8
8900 344.513
9000 325.532
9100 303.875
9200 301.928
9300 324.234
9400 329.987
9500 325.667
9600 312.932
9700 322.499
9800 369.648
9900 318.458
10000 291.164
10100 341.104
10200 339.84
10300 331.881
10400 365.662
10500 347.363
10600 365.75
10700 312.865
10800 300.616
10900 304.197
11000 318.682
11100 339.52
11200 332.374
11300 310.424
11400 329.091
11500 301.197
11600 302.796
11700 318.528
11800 341.134
11900 337.042
12000 385.395
12100 356.501
12200 325.808
12300 292.308
12400 309.556
12500 322.969
12600 293.397
12700 330.131
12800 342.235
12900 324.168
13000 347.451
13100 317.712
13200 352.156
13300 316.217
13400 342.487
13500 333.176
13600 310.059
13700 316.295
13800 316.573
13900 325.673
14000 331.669
14100 340.558
14200 366.257
14300 338.181
14400 341.938
14500 308.735
14600 344.258
14700 330.345
14800 333.537
14900 322.238
15000 293.284
15100 280.997
15200 289.488
15300 339.175
15400 320.232
15500 308.277
15600 359.536
15700 361.022
15800 335.62
15900 344.247
16000 325.959
16100 342.143
16200 327.221
16300 321.834
16400 294.362
16500 292.858
16600 299.619
16700 296.62
16800 347.505
16900 386.072
17000 315.121
17100 325.886
17200 332.3
17300 336.243
17400 307.73
17500 321.582
17600 292.493
17700 288.618
17800 312.244
17900 308.884
18000 329.738
18100 328.087
18200 334.876
18300 344.61
18400 341.664
18500 345.324
18600 343.551
18700 328.832
18800 303.683
18900 305.254
19000 342.234
19100 362.363
19200 359.315
19300 346.725
19400 319.333
19500 356.958
19600 335.632
19700 318.228
19800 334.276
19900 333.975
20000 295.962
20100 320.888
20200 366.023
20300 324.619
20400 315.576
20500 337.058
20600 366.461
20700 320.415
20800 352.918
20900 315.475
21000 324.998
21100 319.057
21200 346.277
21300 302.444
21400 325.364
21500 309.109
21600 284.007
21700 297.502
21800 311.073
21900 309.271
22000 312.807
22100 335.183
22200 350.928
22300 343.497
22400 341.051
22500 304.789
22600 277.323
22700 311.036
22800 315.536
22900 316.139
23000 343.094
23100 334.314
23200 352.555
23300 347.627
23400 372.793
23500 351.32
23600 317.566
23700 322.19
23800 319.147
23900 330.794
24000 365.913
24100 344.778
24200 336.416
24300 323.308
24400 297.255
24500 303.936
24600 329.046
24700 316.32
24800 346.834
24900 350.234
25000 335.236
25100 363.34
25200 346.153
25300 347.881
25400 297.243
25500 340.986
25600 338.843
25700 282.341
25800 350.488
25900 319.008
26000 322.611
26100 320.26
26200 315.037
26300 332.393
26400 297.955
26500 279.108
26600 307.577
26700 359.042
26800 355.793
26900 334.308
27000 366.02
27100 329.269
27200 303.235
27300 292.516
27400 294.435
27500 315.514
27600 336.859
27700 343.47
27800 341.1
27900 350.405
28000 304.268
28100 321.043
28200 335.989
28300 323.692
28400 292.943
28500 301.031
28600 334.883
28700 306.35
28800 323.968
28900 343.921
29000 343.893
29100 323.893
29200 330.59
29300 334.18
29400 306.301
29500 358.098
29600 352.193
29700 360.964
29800 349.5
29900 310.099
30000 313.297
30100 310.11
30200 317.466
30300 325.805
30400 341.627
30500 328.15
30600 319.604
30700 320.416
30800 350.558
30900 348.489
31000 334.229
31100 366.474
31200 335.563
31300 309.337
31400 317.508
31500 292.261
31600 309.704
31700 311.369
31800 309.975
31900 393.552
32000 353.355
32100 310.173
32200 343.745
32300 314.779
32400 330.366
32500 315.507
32600 304.481
32700 328.866
32800 324.842
32900 355.764
33000 339.576
33100 302.556
33200 322.729
33300 278.147
33400 331.544
33500 337.088
33600 346.38
33700 307.208
33800 347.89
33900 309.333
34000 332.366
34100 354.211
34200 345.863
34300 304.757
34400 343.735
34500 362.931
34600 365.872
34700 326.847
34800 306.185
34900 355.656
35000 348.91
35100 336.75
35200 343.935
35300 321.291
35400 348.154
35500 309.974
35600 302.659
35700 347.91
35800 342.331
35900 333.053
36000 337.672
36100 344.747
36200 329.433
36300 320.04
36400 349.228
36500 373.067
36600 318.212
36700 343.437
36800 318.829
36900 341.215
37000 332.524
37100 333.285
37200 325.606
37300 292.944
37400 328.991
37500 316.17
37600 393.329
37700 330.828
37800 331.86
37900 334.07
38000 317.716
38100 340.763
38200 285.96
38300 318.562
38400 320.13
38500 317.148
38600 321.676
38700 331.169
38800 339.629
38900 338.249
39000 297.44
39100 321.741
39200 327.639
39300 378.362
39400 342.016
39500 371.071
39600 365.984
39700 342.206
39800 330
39900 326.005
40000 322.706
40100 295.344
40200 314.905
40300 313.753
40400 348.932
40500 331.015
40600 387.45
40700 366.923
40800 344.886
40900 356.741
41000 356.298
41100 324.279
41200 305.094
41300 332.184
41400 317.903
41500 359.075
41600 331.772
41700 350.125
41800 350.651
41900 380.353
42000 333.907
42100 358.969
42200 368.905
42300 333.872
42400 344.365
42500 337.029
42600 325.024
42700 324.342
42800 304.93
42900 326.164
43000 336.507
43100 366.148
43200 375.411
43300 359.85
43400 306.859
43500 299.112
43600 328.78
43700 345.199
43800 316.782
43900 353.039
44000 290.768
44100 348.488
44200 340.143
44300 362.391
44400 362.419
44500 322.554
44600 342.25
44700 316.208
44800 326.066
44900 314.525
45000 326.339
45100 336.478
45200 316.441
45300 331.667
45400 357.027
45500 396.074
45600 345.792
45700 370.55
45800 349.366
45900 302.01
46000 324.704
46100 333.53
46200 310.909
46300 373.261
46400 348.242
46500 336.013
46600 322.331
46700 318.236
46800 353.266
46900 330.311
47000 319.564
47100 330.943
47200 335.139
47300 291.241
47400 316.162
47500 352.075
47600 350.725
47700 311.152
47800 364.099
47900 355.155
48000 332.282
48100 351.837
48200 321.024
48300 328.927
48400 338.078
48500 328.121
48600 317.891
48700 322.085
48800 299.951
48900 353.739
49000 326.73
49100 361.329
49200 343.689
49300 348.061
49400 366.301
49500 380.75
49600 297.806
49700 318.298
49800 308.44
49900 357.963
50000 305.91
50100 362.492
50200 319.128
50300 355.687
50400 316.886
50500 353.177
50600 302.196
